Event ID,Location,Slope(In degrees),River distance(metres),Soil Texture,Soil status,Soil Moisture,Deforestation,Forest cover,Estimated trees/km²,CO2 emissions in tons/year,Enroachment
HP24-021,"Samej Village, Rampur, Himachal Pradesh, India",45° to 78°,0m,"Gravelly sandy loam (Dominant), Rocky mountain soil (Secondary)",Saturated: Flash surge along mountain nallah completely submerged and saturated riverbank gravelly loams.,36%–41%(Very High),"Hill cutting, forest clearing lead to the loss of topsoil directly",63%,"34,000","95,000",extensive construction directly on the floodplains (riverbeds) of the Beas and Parvati rivers
AR23-022,"Pasighat, East Siang, Arunachal Pradesh, India",35° to 65°,0m,"Sandy loam (Dominant), Silt loam (Secondary)",Saturated: Siang River high stage combined with monsoon downpours filled soil pores to maximum capacity.,41%–46%(Very High),"Heavy timber clearing, shifting cultivation (jhum), and aggressive hill cutting for highway infrastructure",56%,"38,000","25,000",high exposure footprint along river margins
AS23-023,"Dibrugarh, Assam, India",0°–10°,0m,"Silty clay loam (Dominant), Silt loam (Secondary)",Waterlogged: Low-lying Brahmaputra active floodplains retained standing floodwaters over saturated silty clay matrices.,48%–56%(Very High),hill cutting and degraded vegetation in catchment areas accelerating siltation,29%,"13,000","90,000","High along historical wetland buffers (beels), riparian corridors, and active river floodplains"
MG23-024,"Tura, West Garo Hills, Meghalaya, India",60°–85° near-vertical,"1,000m-1,500m","Sandy loam (Dominant), Rocky shallow mountain soil (Secondary)",Saturated: Extreme convective downpours kept thin lateritic mountain soils at maximum water-holding capacity.,32%–37%(Very High),"Extensive forest clearing for unscientific rat-hole coal mining, stone quarrying, and road slicing",71%,"43,000","30,000","Commercial stalls, residential dwellings, and tourist facilities built close to natural drainage pathways"
HP23-025,"Kullu, Himachal Pradesh, India",35° to 70°,0m,"Loam (Dominant), Sandy clay loam (Secondary)","Saturated: Beas River spates and catchment cloudbursts completely saturated coarse, gravelly river-terrace deposits.",36%–41%(Very High),intensive hill cutting and forest clearing directly accelerating runoff velocities,42%,"26,000","100,000","extensive commercial hotels, shops, and residential construction directly on the active riverbeds and floodplains of the Beas, Parvati, and Sainj rivers"
UK23-026,"Dehradun, Uttarakhand, India",35° to 75°,50-80m,"Rocky/very shallow mountain soil (Dominant), Sandy loam (Secondary)","Saturated: Multi-district monsoon surge fully saturated fragile, shallow Himalayan slope soil matrices.",31%–37%(Very High),Highly critical human induced multiplying hazard,64%,"46,000","90,000",Critically high because of hotel and guest houses for pilgrims
SK23-027,"Gangtok, Sikkim, India",35°–75°,400m-500m,"Rocky/very shallow mountain soil (Dominant), Sandy loam (Secondary)",Saturated: Teesta flash flood torrents fully saturated coarse gravelly slope colluvium and riverbank terraces.,36%–41%(Very High),Contributing factor in the lower valleys amplifying soil vulnerability and bank slumping,78%,"52,000","15,000","High as major human settlements, military installations, and hydropower structures built directly along the Teesta floodplain and gorge channels"
JK23-028,"Surjan Morha, Kathua, Jammu & Kashmir, India",35° to 65°,0m,Sandy loam (secondary: gravelly coarse sand),Saturated: Surging foothill streams and cloudbursts pushed Shivalik sandy loam soils to full matrix saturation.,41%–46%(Very High),hill cutting and degraded vegetation in the lower Shivaliks accelerating runoff velocities,66%,"26,000","80,000",unregulated commercial/residential expansion across active floodplains and seasonal stream corridors (Khads)
AS22-029,"Silchar, Cachar, Assam, India",0°–8°,0m,Silty clay loam (secondary: clay),"Waterlogged: Bethkundi dyke breach flooded urban plain, keeping fine clay loam under deep standing water for weeks.",50%–57%(Very High),"unregulated hill cutting, mining, and forest loss in upstream catchments accelerating high-velocity mudflows and severe riverbed siltation",34%,"18,000","70,000","extensive urban expansion, commercial structures, and settlements built directly on the active river floodplains, wetlands, and structural drainage buffers"
AR22-030,"Namsai, Arunachal Pradesh, India",35°–65°,0m,Sandy loam (secondary: gravelly loam),Saturated: Record pre-monsoon rainfall maintained 100% pore volume water fill along river margins and lower slopes.,41%–46%(Very High),"hill cutting for road widening, timber clearing, and loss of vegetative topsoil accelerating severe slope vulnerability",55%,"38,000","25,000","agriculture, bridge approach settlements, and local infrastructure built along active riparian corridors and flood channels"
MG22-031,"Nongpoh, Ri-Bhoi, Meghalaya, India",60° to Near-Vertical,"1,000m-1,500m",Rocky/very shallow mountain soil (secondary: skeletal loamy sand),Saturated: Historic 972 mm 24-hour rainfall completely saturated thin soil pockets over sandstone cliff faces.,32%–37%(Very High),"Unregulated stone quarrying, timber logging, and hill slicing for rural roads",67%,"37,000","30,000","Extensive residential dwellings, commercial facilities, and marketplace structures built directly inside active gorges"
MN22-032,"Tupul, Noney, Manipur, India",45° to 78°,300m-400m,Clay loam (secondary: gravelly weathered shale),"Saturated: Continuous monsoon rain saturated weathered Disang shale soils, causing deep slope liquefaction and landslide.",36%–41%(Very High),"Extensive forest clearing, slope slicing, and heavy earth-moving blasting for the mega railway project",74%,"49,000","1,500","Setting up a major residential labor and security camp directly at the base of an un-reinforced, aggressively cut hill slope"
SK22-033,"Chungthang,Sikkim, India",45° to 78°,"1,000m-1,500m",Rocky/very shallow mountain soil (secondary: gravelly sandy loam),Saturated: Early summer snowmelt combined with monsoon rain fully saturated steep gorge soils and highway slopes.,36%–41%(Very High),"Heavy timber clearing, resort construction, and aggressive hill cutting for highway widening projects severely compromised topsoil holding power",73%,"49,000","20,000","High exposure footprint along active riverbanks.Extensive networks of commercial hotels, tourist lodges, and residential dwellings built directly onto fragile river slopes"
HP22-034,"Nahan, Sirmaur, Himachal Pradesh, India",35° to 65°,"1,000m-1,500m",Sandy loam (secondary: cobbly/gravelly loam),Saturated: High-velocity riverbed surges completely inundated and saturated gravelly/cobbly river channel deposits.,35%–40%(Very High),Highly Critical human-induced accelerating factor.Widespread hill blasting and forest fragmentation for tourist resort hubs and highway widening projects,58%,"30,000","110,000","Multiple commercial hotels, local shops, and tourist dwellings constructed directly inside active floodplains"
UK22-035,"Gopeshwar, Chamoli, Uttarakhand, India",45°–70°,500m-600m,Loam (secondary: gravelly sandy loam),Saturated: Widespread convective storms filled soil pore capacity across steep V-shaped valley slopes.,31%–37%(Very High),Highly Critical human-induced accelerating factor.Widespread hill blasting and forest fragmentation for tourist resort hubs and highway widening projects,66%,"47,000","100,000","Critically High along active riverbanks.Multiple commercial resorts, local shops, and tourist dwellings constructed directly inside active floodplain"
JK22-036,"Pahalgam, Anantnag, Jammu & Kashmir, India",40° to 75°,0m,Rocky/very shallow mountain soil (secondary: limestone scree/coarse sand),Saturated: High-altitude cloudburst rapidly saturated scree and thin skeletal alpine soils in narrow valley floor.,29%–35%(Very High),Highly Critical human-induced accelerating factor.Widespread hill blasting and forest fragmentation for road widening and building infrastructure projects,83%,"43,000","120,000","Critically High along active riverbeds.Multiple tents, community kitchens, and pilgrim utility facilities constructed directly inside seasonal dry stream beds faced direct impact."
MZ22-037,"Aizawl, Mizoram, India",40°–70°,0m,Silty clay loam (secondary: loam),"Saturated: Historic monsoonal surplus saturated deeply weathered ridge-slope silty clay loams, eliminating shear strength.",38%–44%(Very High),"Highly Critical human-induced accelerating factor.Shifting cultivation (jhum), extensive forest clearing, and unscientific hill cutting for highway widening",59%,"40,000","450,000","High exposure footprint along fragile hill slopes.Residential housing structures built on steep, un-reinforced slopes without proper drainage layouts"
NL22-038,"Chümoukedima, Nagaland, India",5°–15°,"2,500-3,000",Silt loam (secondary: clay loam),Saturated: High surface runoff and valley confluence flooding brought alluvial silt loams to full saturation.,38%–44%(Very High),"Shifting cultivation (jhum), extensive forest clearing, and unscientific hill cutting for highway widening",43%,"23,000","50,000","Shifting cultivation (jhum), extensive forest clearing and unscientific hill cutting for highway widening"
TR22-039,"Belonia, South Tripura, Tripura, India",0°–8°,200-500,Silty clay loam (secondary: clay),"Waterlogged: Extreme 197 mm downpour choked city drainage and flooded Haora basin, creating widespread standing water.",48%–55%(Very High),"Highly Critical human-induced accelerating factor.Extensive forest clearing and unscientific hill cutting stripped root structures, leading to immediate topsoil liquefaction under heavy rain.",49%,"10,000","40,000",Extremely High exposure footprint across river corridors.Widespread permanent structures and commercial built-up areas constructed directly onto low-lying active floodplains choked natural stream paths
